,param_n_estimators,param_max_depth,mean_test_score,rank_test_score
0,100,5,0.7489999999999999,25
1,150,5,0.744,26
2,100,5,0.741,27
3,150,5,0.738,29
4,100,5,0.741,27
5,150,5,0.734,30
6,100,6,0.7780000000000001,20
7,150,6,0.7770000000000001,22
8,100,6,0.7780000000000001,20
9,150,6,0.774,24
10,100,6,0.779,18
11,150,6,0.777,23
12,100,7,0.79,4
13,150,7,0.784,9
14,100,7,0.784,9
15,150,7,0.779,18
16,100,7,0.7809999999999999,15
17,150,7,0.781,14
18,100,8,0.798,1
19,150,8,0.787,8
20,100,8,0.789,5
21,150,8,0.7790000000000001,16
22,100,8,0.7790000000000001,16
23,150,8,0.788,7
24,100,9,0.789,5
25,150,9,0.792,3
26,100,9,0.782,13
27,150,9,0.794,2
28,100,9,0.7830000000000001,12
29,150,9,0.784,9
